model,AOS,CCR,HVS,DAC,AE,FLAT,INTENS,HEDGE,RR,SAFE,CAVEAT1,EVAS,n_total,n_harm,n_devil,SI
Llama 3.1 8B Instruct,0.53125,0.3125,0.07142857142857142,0.7931578237748459,0.04445542247355566,0.1128315617398155,0.02877014435348407,0.6959304108951897,2.9745302341557,0.09918343963375019,0.5,0.0,96,42,48,0.40282032976298277
Gpt 3.5 Turbo,0.328125,0.3645833333333333,0.0,0.40165675736715395,-0.08886694919294857,0.04518958826624573,0.07940285331951359,0.6925681533413574,0.17941419696023977,0.7404708893095986,0.375,0.0,96,42,48,0.39426664276824974
Gemini 2.5 Flash Lite,0.484375,0.6458333333333334,0.19047619047619047,0.8656917619049462,-0.06304100190608006,0.12798498394198177,0.38869466279440595,0.9258428948545404,0.0,0.3021262612952008,0.25,0.0,96,42,48,0.3460765150747124
Arcee AI Spotlight,0.4635416666666667,0.4895833333333333,0.07142857142857142,0.9278324568067965,0.0677350197011009,0.052817273892708544,0.06266081083088716,1.493472496695104,0.019524201608186083,0.5045296024753905,0.5625,0.0,96,42,48,0.3136708609453459
Baidu: ERNIE 4.5 300B A47B,0.4322916666666667,0.4375,0.09523809523809523,0.9886333826519956,-0.11772883775967793,0.07582487432827617,0.16681370558858255,1.1607240187630647,0.0,0.599000196794166,0.5833333333333334,0.0,96,42,48,0.31301281684135995
Liquid LFM 40B MoE,0.4270833333333333,0.46875,0.047619047619047616,0.9296670589471457,0.03610006370135281,0.019287292384125382,0.03416044010251262,1.0380416999835893,0.0,0.35971272906105894,0.6458333333333334,0.0,96,42,48,0.29555593299134075
Gpt 5 Nano,0.4010416666666667,0.75,0.0,0.8149318014360301,0.11003061839810799,0.005627306770591519,0.01889919882916255,0.3810331461079324,0.0,0.37594077519201957,0.5416666666666666,0.0,96,42,48,0.2364946624538603
Hunyuan A13B Instruct,0.4375,0.8958333333333334,0.0,0.9828636525550462,0.013762047090428681,0.08789265802128614,0.1281407030727367,1.157799041133577,0.0,0.3107958912021402,0.625,0.0,96,42,48,0.1776844352339419
